error_00,error_01,error_02,error_03,error_04,error_05,error_06,error_07,mean_absolute_error,iterations,learning_rate,hidden_neurons
0.0002527937422952542,-0.05754042415819601,-0.08427465363214746,0.028146328661825648,0.7245718138276379,-0.14606075661922524,-0.24446326745960148,-0.4005018343838873,0.21072648406060202,10000,0.18,16
8.264233729293746e-05,-0.0058605947435938985,-0.011430463611271986,0.0007834149023596693,0.6451061703743615,-0.028563196295934092,-0.24363014169308145,-0.39537699030680157,0.16635420178308713,20000,0.18,16
9.805465264189905e-07,-0.029947069731604964,-0.07673376131349022,0.01185699449362343,0.3280124187060346,-0.16998638876338265,-0.6030105792712307,-0.6608746079306032,0.23505285009456203,20000,0.18,16
3.920840230264844e-08,-0.0014482460018930624,-0.009439786113410061,4.676720567819981e-05,0.25544442383471655,-0.03179538157152008,-0.9061703332422312,-0.9061448412506068,0.26381122730355727,40000,0.18,16
1.0909115163437733e-06,-0.0009438436919049688,-0.003334131814813637,0.0009827003665381362,0.5972887079785308,-0.0034406955547348467,-0.3702430009064578,-0.6087199701662459,0.1981192676738428,40000,0.18,16
2.502789467784261e-06,-0.00020829535970678435,-0.001012788367693133,3.2792489393695945e-05,0.74186016309028,-0.0014438344700926247,-0.5158639323437387,-0.5305331106326189,0.22386967744287395,50000,0.18,16
7.114379120265468e-07,-8.939159665093894e-05,-0.0002921210458470775,0.000922374129851411,0.757021521170439,-0.00269069207972573,-0.13441534858085769,-0.27643154323276387,0.14648296290925594,50000,0.18,16
1.5044745386161296e-06,-0.0004504172481471695,-0.0019051149095372201,0.005469721900783875,0.6860523296647101,-0.00884629229402439,-0.46071821759633014,-0.5724090511283654,0.21698158115205463,50000,0.18,8
1.6481186602135267e-06,-0.00015658531758028048,-0.0005043893480007817,0.021389056297779985,0.9476840971200466,-0.008053175470004758,-0.1121680885447535,-0.5447875199996305,0.2043430700270571,50000,0.18,8
8.185884359246387e-07,-0.0007432909706166364,-0.0024416222065079683,1.981127987737974e-05,0.6206142540802344,-0.016177804147291315,-0.7622626441219736,-0.8818022812327805,0.28550781582846474,50000,0.25,8
9.863213462635301e-05,-0.00035939314159608485,-0.0011016415563579486,8.597719487801747e-06,0.7293889297110224,-0.0034749985559476664,-0.42949070354013913,-0.46358251088127606,0.2034381759050567,50000,0.25,8
0.00011574684758608456,-0.00037058703994037004,-0.001251939151938419,0.00013885136308688928,0.4862884053170766,-0.004299413954637341,-0.7354489188179525,-0.5215022895956983,0.21867701901098957,50000,0.2,8
3.947710093488155e-06,-0.0007644304967952416,-0.002061108580947517,8.081393203629439e-06,0.1362547426614923,-0.018506387775603463,-0.834836693293416,-0.38591658329956846,0.17229399690139002,50000,0.2,8
1.61840408667846e-05,-0.0013591927031175262,-0.005184652437170047,0.011312029893452036,0.6533098898814601,-0.020959477064763,-0.33208459691985437,-0.5460427737307934,0.19628359958393465,50000,0.15,8
1.2716001463464188e-05,-0.0006884129006516946,-0.002455863328301485,0.0008576359719218996,0.6403652094570351,-0.013503630725566007,-0.2709638647886952,-0.6514957760669208,0.19754288865506947,50000,0.15,8
4.382376390665854e-07,-0.001538267350992299,-0.006665980492913287,0.00025434618966480027,0.4912542574215035,-0.019712354108725124,-0.4514378763120872,-0.5195833898508794,0.18630586374555058,50000,0.15,8
0.00015163375604554385,-0.015227890230610466,-0.03212175034914698,0.02189396386384246,0.5020932655547978,-0.12504734170597454,-0.32121913912553657,-0.4733160743821024,0.1863838823710071,50000,0.1,8
1.3184856816561563e-05,-0.01588866332540845,-0.030398040883899146,0.03939856849772305,0.6517457114048684,-0.08707306688939767,-0.1970406734917689,-0.6050364065958537,0.20332428949321696,50000,0.1,8
3.730077759400707e-05,-0.0022882871956888353,-0.008579630796779349,0.006885294480394988,0.3694568557920377,-0.038935167037465204,-0.4438063270528069,-0.648125657974559,0.18976431513841574,50000,0.12,8
4.135588193676654e-06,-0.0008953384730656874,-0.0028458695589992375,0.0021471783925944843,0.7402798495640519,-0.02687813265847878,-0.3300090194886462,-0.5860466872866579,0.21113827637633598,50000,0.12,8
0.00034855127156196986,-0.128098280379203,-0.16324485477403827,0.01252752966206283,0.5431833095530696,-0.23121637728925018,-0.3210599699683589,-0.6710695382864688,0.2588435513980017,50000,0.05,8
0.00010755351018920667,-0.08768113047775818,-0.14913123158651154,0.006680148905559236,0.5676900853427442,-0.17434036004707276,-0.4755328014694448,-0.6298490946515476,0.26137655074885346,50000,0.05,8
0.00031354523558757563,-0.09231348548367199,-0.13891757408070604,0.06346292926177599,0.566783498613978,-0.18390660848528995,-0.34885501732908797,-0.5566489949607848,0.2439002066813603,50000,0.05,8
0.0012103720440583832,-0.03239334343821578,-0.050180180500940565,0.004328123273257378,0.6316809725244117,-0.08690140949727246,-0.30022176298719344,-0.4580193718575219,0.19561694201535895,50000,0.05,16
1.350251184983886e-05,-0.030325312066123367,-0.06483543074846937,0.009115690816382083,0.4240309092719784,-0.14166324329199967,-0.5748848244949233,-0.6568217964327916,0.2377113387043147,50000,0.05,16
5.178774499681182e-06,-0.004834922455730123,-0.008695770625470757,0.008283319865993954,0.7613118944537837,-0.07358644953532245,-0.11883646597948432,-0.4237681114305637,0.17491526414010608,50000,0.08,12
7.1342511569483236e-06,-0.029765043486355638,-0.07031124153239508,0.018570428989920007,0.329387351991542,-0.10704814827857381,-0.5226686138202132,-0.7064398266760324,0.22302472362827364,50000,0.08,12
