error_00,error_01,error_10,error_11,mean_absolute_error,iterations,learning_rate
-0.09130203478505651,0.6405888434891118,0.13916042016174424,-0.3831782989377627,0.3135573993434188,1000,0.6
-0.5157824912789973,0.4475637579137389,0.5001614231605942,-0.5148711383448898,0.4945947026745551,2000,0.01
-0.5071062461521039,0.49935121967912044,0.5336497841312209,-0.45203810181087845,0.4980363379433309,2000,0.01
-0.46477063418339304,0.4137426908818058,0.6376388558060252,-0.4403878488397427,0.48913500742774174,2000,0.02
-0.6052959446153405,0.4559381864697737,0.44812294576458733,-0.5537027811740263,0.5157649645059319,2000,0.02
-0.3197120503586596,0.33021788762447635,0.5144252519024327,-0.49200352403498954,0.41408967848013956,2000,0.05
-0.4146395835317619,0.490583272994348,0.4658863644457252,-0.5554214621413814,0.4816326707783042,2000,0.05
-0.45666823071340223,0.4441596723524387,0.6235836227698475,-0.40749238907056945,0.4829759787265645,2000,0.1
-0.4004541135043153,0.39735911184858885,0.4113992771727216,-0.6465712120175915,0.46394592863580436,2000,0.1
-0.4080158382480551,0.5428946669248117,0.552700512971908,-0.47535569449032256,0.49474167815877435,2000,0.25
-0.14874201164174897,0.16313252706438364,0.1734540665936284,-0.24264302162519033,0.18199290673123783,2000,0.25
-0.13899657202847013,0.16924737508369758,0.09111193234207204,-0.11607880552246677,0.12885867124417663,2000,0.5
-0.07664229687748067,0.06253293502731205,0.11725509044944138,-0.1262414847340375,0.09566795177206791,2000,0.5
-0.07049877697945468,0.057636885070584065,0.08840495566605133,-0.06088445024670119,0.06935626699069782,2000,0.6
-0.12230006244840848,0.08594262219511273,0.12665774274522446,-0.12554166838892122,0.11511052394441672,2000,0.6
-0.04302356478445424,0.06089367743662666,0.06691806902702602,-0.051078576616584596,0.05547847196617288,2000,0.75
-0.05926790959077888,0.07970667498111561,0.07899535677805192,-0.09041055960082446,0.07709512523769271,2000,0.75
-0.048075714124692366,0.04757901213030136,0.04385079872988995,-0.06279631894696253,0.05057546098296155,2000,0.9
-0.05828795941922899,0.04545195341308206,0.044085858186180604,-0.062241993833203106,0.05251694121292369,2000,0.9
-0.04042419147304488,0.0541230386628585,0.05917063543044265,-0.06161279908641843,0.053832666163191115,2000,1.0
-0.045692949823328624,0.038499669251543134,0.042821024446191513,-0.037540521131536254,0.041138541163149876,2000,1.0
-0.036538732809610674,0.037447081638654955,0.03576658382385545,-0.0590501819777738,0.042200645062473716,2000,1.2
-0.055405622048353025,0.04288466356937182,0.04300035433555338,-0.032261421889918596,0.043388015460799206,2000,1.2
-0.038784923447543244,0.04462153727748508,0.05190440743365343,-0.04519760873862658,0.045127119224327085,2000,1.1
-0.0376937351350029,0.04929666578955094,0.049188926115883214,-0.05381201674105204,0.047497835945372276,2000,1.1
-0.0145506462692585,0.6202420697171714,0.04658366046764639,-0.38708136607857385,0.26711443563316256,2000,1.3
-0.04417168786458207,0.03828966086000196,0.03389311465305145,-0.040970726717792706,0.03933129752385704,2000,1.3
-0.037132430978746044,0.03968233533408283,0.036365725568561214,-0.03581166149641247,0.03724803834445064,2000,1.4
-0.025288922042947533,0.044734112220017996,0.03703175753510013,-0.05419034770035905,0.040311284874606175,2000,1.4
-0.018189196361035415,0.039212596204077355,0.03814416668107501,-0.05548884530405274,0.03775870113756013,2000,1.5
-0.0386900033669231,0.0344756985238438,0.031888093089089464,-0.03628446410716812,0.03533456477175612,2000,1.5
-0.02621452226266191,0.028287306815270585,0.023496286503903563,-0.023645600869831144,0.0254109291129168,2000,2
-0.017271932467375392,0.031453690285930924,0.026176503732241674,-0.03938909122008233,0.02857280442640758,2000,2
